baseID,geneID,gene.name
G000413,HVAEP1.G000413,HVAEP1-G000413
G000414,HVAEP1.G000414,HVAEP1-G000414
G000415,HVAEP1.G000415,HVAEP1-G000415
G000416,HVAEP1.G000416,HVAEP1-G000416
G000417,HVAEP1.G000417,HVAEP1-G000417
G000418,HVAEP1.G000418,HVAEP1-G000418
G000419,HVAEP1.G000419,HVAEP1-G000419
G000420,HVAEP1.G000420,HVAEP1-G000420
G000421,HVAEP1.G000421,HVAEP1-G000421
G000422,HVAEP1.G000422,HVAEP1-G000422
G000423,HVAEP1.G000423,HVAEP1-G000423
G000424,HVAEP1.G000424,HVAEP1-G000424
G000425,HVAEP1.G000425,HVAEP1-G000425
G000426,HVAEP1.G000426,HVAEP1-G000426
G000427,HVAEP1.G000427,HVAEP1-G000427
G000428,HVAEP1.G000428,HVAEP1-G000428
G000429,HVAEP1.G000429,HVAEP1-G000429
G000430,HVAEP1.G000430,HVAEP1-G000430
G000431,HVAEP1.G000431,HVAEP1-G000431
G000432,HVAEP1.G000432,HVAEP1-G000432
G000433,HVAEP1.G000433,HVAEP1-G000433
G000434,HVAEP1.G000434,HVAEP1-G000434
G000435,HVAEP1.G000435,HVAEP1-G000435
G000436,HVAEP1.G000436,HVAEP1-G000436
G000437,HVAEP1.G000437,HVAEP1-G000437
G000438,HVAEP1.G000438,HVAEP1-G000438
G000439,HVAEP1.G000439,HVAEP1-G000439
G000440,HVAEP1.G000440,HVAEP1-G000440
G000441,HVAEP1.G000441,HVAEP1-G000441
G000442,HVAEP1.G000442,HVAEP1-G000442
G000443,HVAEP1.G000443,HVAEP1-G000443
G000444,HVAEP1.G000444,HVAEP1-G000444
G000445,HVAEP1.G000445,HVAEP1-G000445
G000446,HVAEP1.G000446,HVAEP1-G000446
G000447,HVAEP1.G000447,HVAEP1-G000447
G000448,HVAEP1.G000448,HVAEP1-G000448
G000449,HVAEP1.G000449,HVAEP1-G000449
G000450,HVAEP1.G000450,HVAEP1-G000450
G000451,HVAEP1.G000451,HVAEP1-G000451
G000452,HVAEP1.G000452,HVAEP1-G000452
G000453,HVAEP1.G000453,HVAEP1-G000453
G000454,HVAEP1.G000454,HVAEP1-G000454
G000455,HVAEP1.G000455,HVAEP1-G000455
G000456,HVAEP1.G000456,HVAEP1-G000456
G000457,HVAEP1.G000457,HVAEP1-G000457
G000458,HVAEP1.G000458,HVAEP1-G000458
G000459,HVAEP1.G000459,HVAEP1-G000459
G000460,HVAEP1.G000460,HVAEP1-G000460
G000461,HVAEP1.G000461,HVAEP1-G000461
G000462,HVAEP1.G000462,HVAEP1-G000462
G000463,HVAEP1.G000463,HVAEP1-G000463
G000464,HVAEP1.G000464,HVAEP1-G000464
G000465,HVAEP1.G000465,HVAEP1-G000465
G000466,HVAEP1.G000466,HVAEP1-G000466
G000467,HVAEP1.G000467,HVAEP1-G000467
G000468,HVAEP1.G000468,HVAEP1-G000468
G000469,HVAEP1.G000469,HVAEP1-G000469
G000470,HVAEP1.G000470,HVAEP1-G000470
G000471,HVAEP1.G000471,HVAEP1-G000471
G000472,HVAEP1.G000472,HVAEP1-G000472
G000473,HVAEP1.G000473,HVAEP1-G000473
G000474,HVAEP1.G000474,HVAEP1-G000474
G000475,HVAEP1.G000475,HVAEP1-G000475
G000476,HVAEP1.G000476,HVAEP1-G000476
G000477,HVAEP1.G000477,HVAEP1-G000477
G000478,HVAEP1.G000478,HVAEP1-G000478
G000479,HVAEP1.G000479,HVAEP1-G000479
G000480,HVAEP1.G000480,HVAEP1-G000480
G000481,HVAEP1.G000481,HVAEP1-G000481
G000482,HVAEP1.G000482,HVAEP1-G000482
G000483,HVAEP1.G000483,HVAEP1-G000483
G000484,HVAEP1.G000484,HVAEP1-G000484
G000485,HVAEP1.G000485,HVAEP1-G000485
G000486,HVAEP1.G000486,HVAEP1-G000486
G000487,HVAEP1.G000487,HVAEP1-G000487
G000488,HVAEP1.G000488,HVAEP1-G000488
G000489,HVAEP1.G000489,HVAEP1-G000489
G000490,HVAEP1.G000490,HVAEP1-G000490
G000491,HVAEP1.G000491,HVAEP1-G000491
G000492,HVAEP1.G000492,HVAEP1-G000492
G000493,HVAEP1.G000493,HVAEP1-G000493
G000494,HVAEP1.G000494,HVAEP1-G000494
G000495,HVAEP1.G000495,HVAEP1-G000495
G000496,HVAEP1.G000496,HVAEP1-G000496
G000497,HVAEP1.G000497,HVAEP1-G000497
G000498,HVAEP1.G000498,HVAEP1-G000498
G000499,HVAEP1.G000499,HVAEP1-G000499
G000500,HVAEP1.G000500,HVAEP1-G000500
G000501,HVAEP1.G000501,HVAEP1-G000501
G000502,HVAEP1.G000502,HVAEP1-G000502
G000503,HVAEP1.G000503,HVAEP1-G000503
G000504,HVAEP1.G000504,HVAEP1-G000504
G000505,HVAEP1.G000505,HVAEP1-G000505
G000506,HVAEP1.G000506,HVAEP1-G000506
G000507,HVAEP1.G000507,HVAEP1-G000507
G000508,HVAEP1.G000508,HVAEP1-G000508
G000509,HVAEP1.G000509,HVAEP1-G000509
G000510,HVAEP1.G000510,HVAEP1-G000510
G000511,HVAEP1.G000511,HVAEP1-G000511
G000512,HVAEP1.G000512,HVAEP1-G000512
G000513,HVAEP1.G000513,HVAEP1-G000513
G000514,HVAEP1.G000514,HVAEP1-G000514
G000515,HVAEP1.G000515,HVAEP1-G000515
G000516,HVAEP1.G000516,HVAEP1-G000516
G000517,HVAEP1.G000517,HVAEP1-G000517
G000518,HVAEP1.G000518,HVAEP1-G000518
G000519,HVAEP1.G000519,HVAEP1-G000519
G000520,HVAEP1.G000520,HVAEP1-G000520
G000521,HVAEP1.G000521,HVAEP1-G000521
G000522,HVAEP1.G000522,HVAEP1-G000522
G000523,HVAEP1.G000523,HVAEP1-G000523
G000524,HVAEP1.G000524,HVAEP1-G000524
G000525,HVAEP1.G000525,HVAEP1-G000525
G000526,HVAEP1.G000526,HVAEP1-G000526
G000527,HVAEP1.G000527,HVAEP1-G000527
G000528,HVAEP1.G000528,HVAEP1-G000528
G000529,HVAEP1.G000529,HVAEP1-G000529
G000530,HVAEP1.G000530,HVAEP1-G000530
G000531,HVAEP1.G000531,HVAEP1-G000531
G000532,HVAEP1.G000532,HVAEP1-G000532
G000533,HVAEP1.G000533,HVAEP1-G000533
G000534,HVAEP1.G000534,HVAEP1-G000534
G000535,HVAEP1.G000535,HVAEP1-G000535
G000536,HVAEP1.G000536,HVAEP1-G000536
